arm,units,NONE,critic kill,dup,survivors,bridges reachable,bridges recovered,recall,cost usd,usd per recovered
B4,24,"0.0% [0, 14]","25.0% [12, 45]",0,18,12,3,"25.0% [9, 53]",2.9705,0.9902
S0,18,"38.9% [20, 61]","36.4% [15, 65]",0,7,12,9,"75.0% [47, 91]",1.9919,0.2213
S1,24,"79.2% [60, 91]","40.0% [12, 77]",0,3,12,1,"8.3% [1, 35]",2.2891,2.2891
