arm,units,NONE,critic kill,dup,survivors,bridges reachable,bridges recovered,recall,cost usd,usd per recovered
B1,100,"84.0% [76, 90]","12.5% [3, 36]",0,14,1,0,"0.0% [0, 79]",8.7719,n/a
B3,100,"81.0% [72, 87]","26.3% [12, 49]",0,14,1,0,"0.0% [0, 79]",8.8493,n/a
B4,24,"0.0% [0, 14]","25.0% [12, 45]",0,18,12,4,"33.3% [14, 61]",2.8572,0.7143
B6,50,"96.0% [87, 99]","0.0% [0, 66]",0,2,0,0,"0.0% [0, 0]",4.0821,n/a
S0,60,"66.7% [54, 77]","45.0% [26, 66]",0,11,12,8,"66.7% [39, 86]",5.9546,0.7443
